"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ODAデータ一一覧（開発分野全体, 2010年, 百万ドル, 総拠出額）ODAデータ一一覧（開発分野全体, 2010年, 百万ドル, 総拠出額）ODAデータ一一覧（開発分野全体, 2010年, 百万ドル, 総拠出額）ODAデータ一一覧（開発分野全体, 2010年, 百万ドル, 総拠出額）ODAデータ一一覧（開発分野全体, 2010年, 百万ドル, 総拠出額）ODAデータ一一覧（開発分野全体, 2010年, 百万ドル, 総拠出額）ODAデータ一一覧（開発分野全体, 2010年, 百万ドル, 総拠出額）ODAデータ一一覧（開発分野全体, 2010年, 百万ドル, 総拠出額）ODAデータ一一覧（開発分野全体, 2010年, 百万ドル, 総拠出額）ODAデータ一一覧（開発分野全体, 2010年, 百万ドル, 総拠出額）ODAデータ一一覧（開発分野全体, 2010年, 百万ドル, 総拠出額）ODAデータ一一覧（開発分野全体, 2010年, 百万ドル, 総拠出額）ODAデータ一一覧（開発分野全体, 2010年, 百万ドル, 総拠出額）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国,,オーストラリア,オーストリア,ベルギー,カナダ,デンマーク,フィンランド,フランス,ドイツ,ギリシャ,アイルランド,イタリア,日本,韓国,ルクセンブルグ,オランダ,ニュージーランド,ノルウェー,ポルトガル,スペイン,スウェーデン,スイス,イギリス,アメリカ,クゥエート,アラブ首長国連邦,主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計,非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計,国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計,合計合計合計合計合計合計合計合計合計合計合計合計合計
ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域地域地域地域地域地域地域地域地域地域地域地域地域,国国国国国国国国国国国国国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヨーロッパ,Albania,0,8.1,0.1,0,1.5,0.6,4.2,45.4,51.9,0.1,61.8,6.3,0,0.1,4.2,0,2.5,0,4.8,10.9,13.9,0.9,30.1,5,0.1,247.6,5.1,120.4,373.1
ヨーロッパ,Belarus,0,5.9,0.1,0,2.1,0.4,6.2,18,0.1,0,0.1,1.4,0.1,0,0,0,2.2,0,0.3,16,0.8,0.4,30.8,0,0,84.9,0,32.8,117.7
ヨーロッパ,Bosnia-Herzegovina,0,31.5,0.2,0.4,1.3,2.3,3.5,29.9,0.4,0,4.9,3.8,25.1,0,14.8,0,18.3,3.6,20.9,28,18.8,10.7,28.3,0,0,247.1,0,255.9,503
ヨーロッパ,Croatia,0,5.7,0.1,0,0.5,0.4,3.8,26.3,0.2,0,0.5,1.9,0,0,0.2,0,3.5,0,0.4,0.1,0.1,1,1.1,0,0,45.7,0,115,160.7
ヨーロッパ,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヨーロッパ,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヨーロッパ,Kosovo,0,16.8,0,0,4.7,3.3,1.7,30.9,0,0,2,1.1,0,9.2,3.6,0,24.2,0,0.1,7.6,52.1,9.5,101,0,0.6,267.8,0.6,312.1,580.5
ヨーロッパ,"Macedonia, FYR",0,2.8,0,0,0,0.2,2.9,14.5,0.9,0,3.2,26,0,0,2.3,0,7.5,0,0.4,6.6,10.4,1.1,20.7,0,0,99.7,0,69.5,169.2
ヨーロッパ,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
